Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1740654151169,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,35,15.000000953674316,15.000000953674316,20,10,5.263157844543457,0,25,33.333335876464844,5,5,36.842105865478516,17160.7734375,139749.4483642578,110536.69366455078,131.0810546875,16567197696,2147479552,2627276800,786432
199,1740654151369,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,7.692307949066162,23.68421173095703,47.5,12.820513725280762,15.384615898132324,17.5,0,18.91891860961914,17.5,5.128205299377441,5,17.5,17160.899536132813,139750.50604248047,110537.5043334961,131.0810546875,16567197696,2147479552,2629693440,786432
199,1740654151569,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,15.000000953674316,0,50,10,5.555555820465088,5.263157844543457,0,26.3157901763916,0,45,0,35,17161.02880859375,139751.58673095703,110538.33026123047,131.0810546875,16567197696,2147479552,2624471040,786432
199,1740654151769,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,35,5,47.36842346191406,15.789472579956055,10,5,0,25,10,0,38.095237731933594,5,17161.155883789063,139752.66528320313,110539.16284179688,131.0810546875,16567197696,2147479552,2626224128,786432
199,1740654151969,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,10.526315689086914,10,52.38095474243164,15.789472579956055,0,36.842105865478516,9.523809432983398,25,0,35,0,5.263157844543457,17161.28436279297,139753.7353515625,110539.98516845703,131.0810546875,16567197696,2147479552,2626379776,786432
199,1740654152169,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,5.263157844543457,4.761904716491699,35,26.3157901763916,42.85714340209961,0,5.263157844543457,25,10,45,0,5,17161.410522460938,139754.80053710938,110540.80474853516,131.0810546875,16567197696,2147479552,2627960832,786432
199,1740654152369,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,15.000000953674316,36.842105865478516,20,50,21.052631378173828,0,30.000001907348633,26.3157901763916,0,0,0,0,17161.53662109375,139755.8692626953,110541.62762451172,131.0810546875,16567197696,2147479552,2628542464,786432
199,1740654152569,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,10,0,15.789472579956055,35,33.333335876464844,20,0,21.052631378173828,5.263157844543457,35,0,20,17161.66552734375,139756.94104003906,110542.45092773438,131.0810546875,16567197696,2147479552,2629922816,786432
199,1740654152769,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,0,0,0,52.38095474243164,15.789472579956055,5.263157844543457,33.333335876464844,25,0,35,0,15.789472579956055,17161.790771484375,139757.98876953125,110543.25244140625,131.0810546875,16567197696,2147479552,2630205440,786432
199,1740654152970,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,10,35,0,50,15.789472579956055,33.333335876464844,15.789472579956055,25,0,0,0,0,17161.916564941406,139759.05517578125,110544.07275390625,131.0810546875,16567197696,2147479552,2631127040,786432
