Filename,engine,db_size,iteration,Joules
joule_experiment_mysql_10000_26.txt,mysql,10000,26,123.33892822265625
joule_experiment_mysql_10000_27.txt,mysql,10000,27,131.0418701171875
joule_experiment_mysql_10000_28.txt,mysql,10000,28,124.14190673828125
joule_experiment_mysql_10000_29.txt,mysql,10000,29,128.46728515625
joule_experiment_mysql_10000_30.txt,mysql,10000,30,124.64154052734375
joule_experiment_mysql_100000_1.txt,mysql,100000,1,169.7601318359375
joule_experiment_mysql_100000_2.txt,mysql,100000,2,164.94256591796875
joule_experiment_mysql_100000_3.txt,mysql,100000,3,176.20721435546875
joule_experiment_mysql_100000_4.txt,mysql,100000,4,167.91314697265625
joule_experiment_mysql_100000_5.txt,mysql,100000,5,165.07086181640625
joule_experiment_mysql_100000_6.txt,mysql,100000,6,172.8665771484375
joule_experiment_mysql_100000_7.txt,mysql,100000,7,173.90093994140625
joule_experiment_mysql_100000_8.txt,mysql,100000,8,164.761962890625
joule_experiment_mysql_100000_9.txt,mysql,100000,9,171.1898193359375
joule_experiment_mysql_100000_10.txt,mysql,100000,10,176.13714599609375
joule_experiment_mysql_100000_11.txt,mysql,100000,11,174.59576416015625
joule_experiment_mysql_100000_12.txt,mysql,100000,12,164.91693115234375
joule_experiment_mysql_100000_13.txt,mysql,100000,13,166.84210205078125
joule_experiment_mysql_100000_14.txt,mysql,100000,14,167.275146484375
joule_experiment_mysql_100000_15.txt,mysql,100000,15,158.68975830078125
joule_experiment_mysql_100000_16.txt,mysql,100000,16,173.03125
joule_experiment_mysql_100000_17.txt,mysql,100000,17,170.00750732421875
joule_experiment_mysql_100000_18.txt,mysql,100000,18,172.63787841796875
joule_experiment_mysql_100000_19.txt,mysql,100000,19,168.28118896484375
joule_experiment_mysql_100000_20.txt,mysql,100000,20,163.2744140625
joule_experiment_mysql_100000_21.txt,mysql,100000,21,164.94989013671875
joule_experiment_mysql_100000_22.txt,mysql,100000,22,175.851806640625
joule_experiment_mysql_100000_23.txt,mysql,100000,23,175.3551025390625
joule_experiment_mysql_100000_24.txt,mysql,100000,24,164.89013671875
joule_experiment_mysql_100000_25.txt,mysql,100000,25,169.90234375
joule_experiment_mysql_100000_26.txt,mysql,100000,26,170.87493896484375
joule_experiment_mysql_100000_27.txt,mysql,100000,27,164.8616943359375
joule_experiment_mysql_100000_28.txt,mysql,100000,28,175.51702880859375
joule_experiment_mysql_100000_29.txt,mysql,100000,29,184.434326171875
joule_experiment_mysql_100000_30.txt,mysql,100000,30,163.6890869140625
